,BUSCA,RSLP,SNOW,CHAVESOUNDEX,BUSCABR_SEM_VOGAL,BUSCABR,METAPHONEBR,ROBERTO
52,ADELIA,"[ADELAR, ADELIA, ADELOR]","[ADELAR, ADELIA]","[ADELIA, ADILA, ADILIA, ADILIO, ADILO, AEDILA, ATILA, ATILIO, AUDALIO, AYDIL]","[ADALRI, ADAURI, ADELAR, ADELIA, ADELOR, ADILA, ADILAR, ADILIA, ADILIO, ADILO, ADRIELE, AEDILA, AUDALIO, DALCI, DALILA, DARI, DARIO, DARLAN, DARLE, DARLY, DARY, DAURO, DEILI, DELAIR, DELCI, DELCY, DELIO, DELIRA, DELY, DEODORO, DERIA, DERIO, DERLI, DERLY, DEROCI, DILCE, DIRACY, DIRAEL, DIRAN, DIRLAND, DOLORA, DOLORES, DORACI, DORACY, DORALICE, DORIO, DUILIO, DULCE, EDERLY, EDILA, EDILEA, EDILIA, EDILIO, EDRON, IDALICE, IDALIO, IDELOND, IDERIA, ODELIO, ODELYR, ODILA, ODILAR, ODILIA, ODILIO, ODILON]",[ADELIA],"[ADELIA, ADILA, ADILIA, ADILIO, ADILO, AEDILA, AUDALIO, AYDIL]","[ADELIA, ADILIA, EDILEA, EDILIA, ODILIA]"
53,ADELIANE,[ADELIANE],[ADELIANE],"[ADELIANE, ADELINA, ADELINO, ADELMA, AUDALIANO]","[ADAURINO, ADELIANE, ADELINA, ADELINO, ADELMA, ADELMIR, ADRIANA, ADRIANO, AUDALIANO, DALMIR, DALMO, DAYLIANE, DELINA, DELMA, DELMAR, DELMIR, DELMO, DEOLINDA, DEOLINDO, DILMA, DILMAR, DIOLINDA, DIRLENE, DORALINO, DORINHA, EDELMO, EDILMA, IDALINA]",[ADELIANE],"[ADELIANE, ADELINA, ADELINO, AUDALIANO]",[ADELIANE]
54,ADELINA,"[ADELINA, ADELINO]","[ADELINA, ADELINO]","[ADELIANE, ADELINA, ADELINO, ADELMA, AUDALIANO]","[ADAURINO, ADELIANE, ADELINA, ADELINO, ADELMA, ADELMIR, ADRIANA, ADRIANO, AUDALIANO, DALMIR, DALMO, DAYLIANE, DELINA, DELMA, DELMAR, DELMIR, DELMO, DEOLINDA, DEOLINDO, DILMA, DILMAR, DIOLINDA, DIRLENE, DORALINO, DORINHA, EDELMO, EDILMA, IDALINA]",[ADELINA],"[ADELIANE, ADELINA, ADELINO, AUDALIANO]","[ADELINA, IDALINA]"
55,ADELINO,"[ADELINA, ADELINO]","[ADELINA, ADELINO]","[ADELIANE, ADELINA, ADELINO, ADELMA, AUDALIANO]","[ADAURINO, ADELIANE, ADELINA, ADELINO, ADELMA, ADELMIR, ADRIANA, ADRIANO, AUDALIANO, DALMIR, DALMO, DAYLIANE, DELINA, DELMA, DELMAR, DELMIR, DELMO, DEOLINDA, DEOLINDO, DILMA, DILMAR, DIOLINDA, DIRLENE, DORALINO, DORINHA, EDELMO, EDILMA, IDALINA]",[ADELINO],"[ADELIANE, ADELINA, ADELINO, AUDALIANO]",[ADELINO]
56,ADELJAMI,[ADELJAMI],[ADELJAMI],"[ADELJAMI, ADELSON, ADEYLSON, ADILSON]",[ADELJAMI],[ADELJAMI],[ADELJAMI],[ADELJAMI]
57,ADELMA,"[ADELMA, ADELMIR]","[ADELMA, ADELMIR]","[ADELIANE, ADELINA, ADELINO, ADELMA, AUDALIANO]","[ADAURINO, ADELIANE, ADELINA, ADELINO, ADELMA, ADELMIR, ADRIANA, ADRIANO, AUDALIANO, DALMIR, DALMO, DAYLIANE, DELINA, DELMA, DELMAR, DELMIR, DELMO, DEOLINDA, DEOLINDO, DILMA, DILMAR, DIOLINDA, DIRLENE, DORALINO, DORINHA, EDELMO, EDILMA, IDALINA]",[ADELMA],[ADELMA],[ADELMA]
58,ADELMIR,"[ADELMA, ADELMIR]","[ADELMA, ADELMIR]",[ADELMIR],"[ADAURINO, ADELIANE, ADELINA, ADELINO, ADELMA, ADELMIR, ADRIANA, ADRIANO, AUDALIANO, DALMIR, DALMO, DAYLIANE, DELINA, DELMA, DELMAR, DELMIR, DELMO, DEOLINDA, DEOLINDO, DILMA, DILMAR, DIOLINDA, DIRLENE, DORALINO, DORINHA, EDELMO, EDILMA, IDALINA]",[ADELMIR],[ADELMIR],[ADELMIR]
59,ADELOR,"[ADELAR, ADELIA, ADELOR]",[ADELOR],"[ADALRI, ADELAR, ADELOR, ADILAR]","[ADALRI, ADAURI, ADELAR, ADELIA, ADELOR, ADILA, ADILAR, ADILIA, ADILIO, ADILO, ADRIELE, AEDILA, AUDALIO, DALCI, DALILA, DARI, DARIO, DARLAN, DARLE, DARLY, DARY, DAURO, DEILI, DELAIR, DELCI, DELCY, DELIO, DELIRA, DELY, DEODORO, DERIA, DERIO, DERLI, DERLY, DEROCI, DILCE, DIRACY, DIRAEL, DIRAN, DIRLAND, DOLORA, DOLORES, DORACI, DORACY, DORALICE, DORIO, DUILIO, DULCE, EDERLY, EDILA, EDILEA, EDILIA, EDILIO, EDRON, IDALICE, IDALIO, IDELOND, IDERIA, ODELIO, ODELYR, ODILA, ODILAR, ODILIA, ODILIO, ODILON]",[ADELOR],"[ADELAR, ADELOR, ADILAR]","[ADELAR, ADELOR, ADILAR]"
60,ADELQUE,[ADELQUE],[ADELQUE],"[ADELCIO, ADELGICIO, ADELQUE, ADILSO, ADOLECIA]","[ADELQUE, DILCA, DORCA]",[ADELQUE],[ADELQUE],[ADELQUE]
61,ADELSON,[ADELSON],[ADELSON],"[ADELJAMI, ADELSON, ADEYLSON, ADILSON]","[ADELCIO, ADELSON, ADEYLSON, ADILSO, ADILSON, ADOLECIA, ADORIZIO, DARLISON, DEILZA, DELCIO, DELSON, DELZA, DELZO, DIELLYSON, DILSA, DILSON, DILZA, DOLESAR, EDILEUSA, EDILSON, IDALIZAR, IDELSON, UDILSON]","[ADELCIO, ADELSON]","[ADELSON, ADEYLSON, ADILSON]","[ADELSON, ADEYLSON, ADILSON, EDILSON, IDELSON, UDILSON]"
